mask_case,planner,video,frame,key,runtime_ms,planner_path_source,has_path,inside_gt_ratio,mean_gt_clearance_px,mean_center_error_px,forward_span_px,heading_deg,path_points
oracle_gt,bev_dt_nearfield,IMG_1878,frame_001829,IMG_1878/frame_001829,287.28119999868795,dt_ridge,1.0,0.790123462677002,45.432159423828125,37.50617283950617,314.0,-15.945395900922854,81.0
oracle_gt,bev_graph,IMG_1878,frame_001829,IMG_1878/frame_001829,43.86989999329671,fallback_skeleton,1.0,0.7200000286102295,36.914546966552734,44.745,348.0,-6.130488731240729,100.0
oracle_gt,img_dt,IMG_1878,frame_001829,IMG_1878/frame_001829,35.06480000214651,img_dt,1.0,0.9347826242446899,85.44328308105469,27.57608695652174,341.0,13.240519915187205,46.0
oracle_gt,img_midpoint,IMG_1878,frame_001829,IMG_1878/frame_001829,2.508200006559491,img_midpoint,1.0,0.9130434989929199,80.51155090332031,26.58695652173913,333.0,-10.007979801441337,23.0
baseline_raw,bev_dt_full,IMG_1878,frame_001829,IMG_1878/frame_001829,125.30229997355491,dt_ridge,1.0,1.0,96.44329071044922,47.75714285714286,266.0,-32.13289585998094,35.0
baseline_raw,bev_dt_nearfield,IMG_1878,frame_001829,IMG_1878/frame_001829,128.57540001277812,dt_ridge,1.0,1.0,96.44329071044922,47.75714285714286,266.0,-32.13289585998094,35.0
baseline_raw,bev_graph,IMG_1878,frame_001829,IMG_1878/frame_001829,146.4101000165101,dt_corridor,1.0,1.0,96.10477447509766,48.042857142857144,266.0,-32.13289585998094,35.0
baseline_raw,img_dt,IMG_1878,frame_001829,IMG_1878/frame_001829,27.75190002284944,img_dt,1.0,1.0,111.1595230102539,23.714285714285715,257.0,19.241878278024384,35.0
baseline_raw,img_midpoint,IMG_1878,frame_001829,IMG_1878/frame_001829,1.812099973903969,img_midpoint,1.0,1.0,104.3299789428711,27.055555555555557,257.0,-14.796762245057346,18.0
candidate_confhold,bev_dt_full,IMG_1878,frame_001829,IMG_1878/frame_001829,216.03910002158955,dt_ridge,1.0,0.9259259104728699,46.66615295410156,34.23456790123457,325.0,-16.09483682316408,81.0
candidate_confhold,bev_dt_nearfield,IMG_1878,frame_001829,IMG_1878/frame_001829,215.69599999929778,dt_ridge,1.0,0.9259259104728699,46.66615295410156,34.23456790123457,325.0,-16.09483682316408,81.0
candidate_confhold,bev_graph,IMG_1878,frame_001829,IMG_1878/frame_001829,259.5629999996163,endpoint_arc,1.0,1.0,103.38462829589844,44.232142857142854,226.0,-29.10473162741869,28.0
candidate_confhold,img_dt,IMG_1878,frame_001829,IMG_1878/frame_001829,35.23219999624416,img_dt,1.0,0.97826087474823,85.85609436035156,22.565217391304348,341.0,15.219464831173802,46.0
candidate_confhold,img_midpoint,IMG_1878,frame_001829,IMG_1878/frame_001829,2.127699990523979,img_midpoint,1.0,0.9130434989929199,81.31849670410156,27.52173913043478,333.0,-9.598903068541803,23.0
oracle_gt,bev_dt_full,IMG_1878,frame_002193,IMG_1878/frame_002193,188.24230000609532,dt_ridge,1.0,0.9333333373069763,89.30828094482422,12.766666666666667,308.0,-27.2812111225484,45.0
oracle_gt,bev_dt_nearfield,IMG_1878,frame_002193,IMG_1878/frame_002193,189.64409999898635,dt_ridge,1.0,0.9333333373069763,89.30828094482422,12.766666666666667,308.0,-27.2812111225484,45.0
oracle_gt,bev_graph,IMG_1878,frame_002193,IMG_1878/frame_002193,222.54759998759255,dt_corridor,1.0,0.9545454382896423,90.87902069091797,12.556818181818182,308.0,-27.914702055512706,44.0
oracle_gt,img_dt,IMG_1878,frame_002193,IMG_1878/frame_002193,36.75279999151826,img_dt,1.0,1.0,108.81465911865234,30.353658536585368,303.0,12.578935237493054,41.0
oracle_gt,img_midpoint,IMG_1878,frame_002193,IMG_1878/frame_002193,2.390799985732883,img_midpoint,1.0,1.0,105.33369445800781,5.5,288.0,-15.694924143420016,20.0
baseline_raw,bev_dt_full,IMG_1878,frame_002193,IMG_1878/frame_002193,165.45339999720454,dt_ridge,1.0,1.0,102.8397445678711,13.807692307692308,282.0,-30.256437163529263,39.0
baseline_raw,bev_dt_nearfield,IMG_1878,frame_002193,IMG_1878/frame_002193,166.46519998903386,dt_ridge,1.0,1.0,102.8397445678711,13.807692307692308,282.0,-30.256437163529263,39.0
baseline_raw,bev_graph,IMG_1878,frame_002193,IMG_1878/frame_002193,196.45869999658316,dt_corridor,1.0,1.0,102.55867767333984,13.23076923076923,282.0,-30.256437163529263,39.0
baseline_raw,img_dt,IMG_1878,frame_002193,IMG_1878/frame_002193,35.168000002158806,img_dt,1.0,1.0,116.71600341796875,33.4078947368421,280.0,13.324531261890785,38.0
baseline_raw,img_midpoint,IMG_1878,frame_002193,IMG_1878/frame_002193,2.0831000001635402,img_midpoint,1.0,1.0,110.12628173828125,6.184210526315789,272.0,-17.292449399877686,19.0
candidate_confhold,bev_dt_full,IMG_1878,frame_002193,IMG_1878/frame_002193,171.60399997374043,dt_ridge,1.0,0.9767441749572754,93.2056884765625,12.965116279069768,303.0,-27.914702055512706,43.0
candidate_confhold,bev_dt_nearfield,IMG_1878,frame_002193,IMG_1878/frame_002193,176.55139998532832,dt_ridge,1.0,0.9767441749572754,93.2056884765625,12.965116279069768,303.0,-27.914702055512706,43.0
candidate_confhold,bev_graph,IMG_1878,frame_002193,IMG_1878/frame_002193,204.9125999910757,dt_corridor,1.0,0.9767441749572754,92.8626937866211,12.581395348837209,303.0,-27.914702055512706,43.0
candidate_confhold,img_dt,IMG_1878,frame_002193,IMG_1878/frame_002193,36.17750000557862,img_dt,1.0,1.0,111.94517517089844,31.4875,295.0,12.578935237493054,40.0
candidate_confhold,img_midpoint,IMG_1878,frame_002193,IMG_1878/frame_002193,1.8788000161293894,img_midpoint,1.0,1.0,106.03462219238281,4.45,288.0,-16.568829179599057,20.0
oracle_gt,bev_dt_full,IMG_1878,frame_002598,IMG_1878/frame_002598,427.1076000004541,dt_ridge,1.0,0.9230769276618958,91.53018188476562,53.54807692307692,331.0,-11.607415675794945,52.0
oracle_gt,bev_dt_nearfield,IMG_1878,frame_002598,IMG_1878/frame_002598,424.72179999458604,dt_ridge,1.0,0.9230769276618958,91.53018188476562,53.54807692307692,331.0,-11.607415675794945,52.0
oracle_gt,bev_graph,IMG_1878,frame_002598,IMG_1878/frame_002598,43.88829998788424,fallback_centerline,1.0,1.0,86.65723419189453,50.63636363636363,316.0,-8.3929251873925,44.0
oracle_gt,img_dt,IMG_1878,frame_002598,IMG_1878/frame_002598,60.72360000689514,img_dt,1.0,1.0,114.84028625488281,82.17045454545455,325.0,20.409882833803987,44.0
oracle_gt,img_midpoint,IMG_1878,frame_002598,IMG_1878/frame_002598,2.356800017878413,img_midpoint,1.0,1.0,92.75741577148438,25.022727272727273,318.0,-24.835167555264906,22.0
baseline_raw,bev_dt_full,IMG_1878,frame_002598,IMG_1878/frame_002598,184.09969998174347,dt_ridge,1.0,1.0,127.69791412353516,58.720588235294116,261.0,-12.925999124705953,34.0
baseline_raw,bev_dt_nearfield,IMG_1878,frame_002598,IMG_1878/frame_002598,180.04069998278283,dt_ridge,1.0,1.0,127.69791412353516,58.720588235294116,261.0,-12.925999124705953,34.0
baseline_raw,bev_graph,IMG_1878,frame_002598,IMG_1878/frame_002598,33.82549999514595,fallback_centerline,1.0,1.0,114.17214965820312,52.81666666666667,249.0,-7.621071309297047,30.0
baseline_raw,img_dt,IMG_1878,frame_002598,IMG_1878/frame_002598,43.828199995914474,img_dt,1.0,1.0,138.4840850830078,64.22857142857143,257.0,33.06184950549516,35.0
baseline_raw,img_midpoint,IMG_1878,frame_002598,IMG_1878/frame_002598,2.253799990285188,img_midpoint,1.0,1.0,132.12351989746094,41.6764705882353,242.0,-12.39540683375846,17.0
candidate_confhold,bev_dt_full,IMG_1878,frame_002598,IMG_1878/frame_002598,315.5553999822587,dt_ridge,1.0,1.0,99.06771087646484,57.53125,323.0,-11.80706342159856,48.0
candidate_confhold,bev_dt_nearfield,IMG_1878,frame_002598,IMG_1878/frame_002598,317.45349999982864,dt_ridge,1.0,1.0,99.06771087646484,57.53125,323.0,-11.80706342159856,48.0
candidate_confhold,bev_graph,IMG_1878,frame_002598,IMG_1878/frame_002598,361.5047999774106,dt_corridor,1.0,1.0,98.87628936767578,57.270833333333336,323.0,-11.80706342159856,48.0
candidate_confhold,img_dt,IMG_1878,frame_002598,IMG_1878/frame_002598,57.298700005048886,img_dt,1.0,1.0,116.30164337158203,83.73255813953489,318.0,20.409882833803987,43.0
candidate_confhold,img_midpoint,IMG_1878,frame_002598,IMG_1878/frame_002598,2.156200003810227,img_midpoint,1.0,1.0,104.02640533447266,26.69047619047619,303.0,-15.694924143420016,21.0
oracle_gt,bev_dt_full,IMG_1921,frame_000064,IMG_1921/frame_000064,1237.2395999846049,dt_ridge,1.0,1.0,130.31736755371094,99.83333333333333,386.0,-42.288016532555055,81.0
oracle_gt,bev_dt_nearfield,IMG_1921,frame_000064,IMG_1921/frame_000064,1491.3850000011735,dt_ridge,1.0,1.0,108.18054962158203,117.18987341772151,395.0,-31.22402109924826,79.0
oracle_gt,bev_graph,IMG_1921,frame_000064,IMG_1921/frame_000064,41.92069999407977,fallback_skeleton,1.0,1.0,83.7220458984375,104.96464646464646,407.0,-32.103190862331324,99.0
oracle_gt,img_dt,IMG_1921,frame_000064,IMG_1921/frame_000064,92.3594000050798,img_dt,1.0,0.9491525292396545,151.33680725097656,91.83050847457628,439.0,-7.2060570013832725,59.0
oracle_gt,img_midpoint,IMG_1921,frame_000064,IMG_1921/frame_000064,2.068900008453056,img_midpoint,1.0,1.0,140.88844299316406,7.637931034482759,424.0,-7.841703215103066,29.0
baseline_raw,bev_dt_full,IMG_1921,frame_000064,IMG_1921/frame_000064,1167.702900012955,dt_ridge,1.0,1.0,130.29287719726562,99.79629629629629,388.0,-42.288016532555055,81.0
baseline_raw,bev_dt_nearfield,IMG_1921,frame_000064,IMG_1921/frame_000064,1339.535099978093,dt_ridge,1.0,1.0,111.82676696777344,107.175,396.0,-35.12791269088652,80.0
baseline_raw,bev_graph,IMG_1921,frame_000064,IMG_1921/frame_000064,1147.6151999959257,dt_corridor,1.0,1.0,123.89795684814453,98.24698795180723,394.0,-40.309315544265154,83.0
baseline_raw,img_dt,IMG_1921,frame_000064,IMG_1921/frame_000064,90.69740000995807,img_dt,1.0,1.0,165.00503540039062,100.9245283018868,394.0,-5.74626920979624,53.0
baseline_raw,img_midpoint,IMG_1921,frame_000064,IMG_1921/frame_000064,2.0543999853543937,img_midpoint,1.0,1.0,151.3831787109375,7.462962962962963,394.0,-10.871452925854834,27.0
candidate_confhold,bev_dt_full,IMG_1921,frame_000064,IMG_1921/frame_000064,1182.8323000227101,dt_ridge,1.0,1.0,130.1538543701172,99.08024691358025,387.0,-42.288016532555055,81.0
candidate_confhold,bev_dt_nearfield,IMG_1921,frame_000064,IMG_1921/frame_000064,1487.1770999743603,dt_ridge,1.0,1.0,108.18054962158203,117.18987341772151,395.0,-31.22402109924826,79.0
candidate_confhold,bev_graph,IMG_1921,frame_000064,IMG_1921/frame_000064,1266.9525000092108,dt_corridor,1.0,1.0,129.48080444335938,91.78915662650603,390.0,-40.309315544265154,83.0
candidate_confhold,img_dt,IMG_1921,frame_000064,IMG_1921/frame_000064,98.81049999967217,img_dt,1.0,1.0,162.35047912597656,95.92727272727272,409.0,-7.504732450611963,55.0
candidate_confhold,img_midpoint,IMG_1921,frame_000064,IMG_1921/frame_000064,2.243599999928847,img_midpoint,1.0,1.0,151.07913208007812,6.87037037037037,394.0,-11.236944259344769,27.0
oracle_gt,bev_dt_full,IMG_1921,frame_001002,IMG_1921/frame_001002,1314.5694000122603,dt_ridge,1.0,1.0,150.46665954589844,42.641975308641975,408.0,-10.974382696753661,81.0
oracle_gt,bev_dt_nearfield,IMG_1921,frame_001002,IMG_1921/frame_001002,2006.0816000041086,dt_ridge,1.0,1.0,162.78814697265625,47.863013698630134,393.0,-11.040940180323732,73.0
oracle_gt,bev_graph,IMG_1921,frame_001002,IMG_1921/frame_001002,81.66979998350143,fallback_centerline,1.0,1.0,135.37582397460938,36.86875,404.0,-8.74616226255521,80.0
oracle_gt,img_dt,IMG_1921,frame_001002,IMG_1921/frame_001002,130.32050000037998,img_dt,1.0,0.9285714030265808,162.7388916015625,27.792857142857144,522.0,2.9702306071965188,70.0
oracle_gt,img_midpoint,IMG_1921,frame_001002,IMG_1921/frame_001002,2.8501999913714826,img_midpoint,1.0,1.0,169.3070831298828,7.185714285714286,515.0,14.036243467926479,35.0
baseline_raw,bev_dt_full,IMG_1921,frame_001002,IMG_1921/frame_001002,1311.9080000033136,dt_ridge,1.0,1.0,150.44561767578125,42.73456790123457,408.0,-10.974382696753661,81.0
