mask_case,planner,video,runtime_ms_mean,runtime_ms_p10,runtime_ms_p90,has_path_mean,has_path_p10,has_path_p90,inside_gt_ratio_mean,inside_gt_ratio_p10,inside_gt_ratio_p90,mean_gt_clearance_px_mean,mean_gt_clearance_px_p10,mean_gt_clearance_px_p90,mean_center_error_px_mean,mean_center_error_px_p10,mean_center_error_px_p90,forward_span_px_mean,forward_span_px_p10,forward_span_px_p90,heading_deg_mean,heading_deg_p10,heading_deg_p90,path_points_mean,path_points_p10,path_points_p90,count
baseline_raw,img_dt,IMG_1922,139.06186250096653,70.02396999159828,207.68662999325898,1.0,1.0,1.0,0.9110745638608932,0.726578962802887,1.0,166.87358403205872,100.18110027313233,227.81956787109374,90.01264665493589,9.10153846153846,170.6656578947368,418.25,347.3,480.9,-10.141328208314597,-37.60022650079339,8.277634522832647,56.25,46.9,64.5,8
baseline_raw,img_dt,IMG_1924,145.77464999092626,85.58097999484744,213.3048299816437,1.0,1.0,1.0,0.9149932712316513,0.7804067671298981,1.0,160.96442008018494,102.94511966705323,202.25675354003906,75.40160245758722,14.844982078853048,139.01254545454543,462.75,430.0,496.29999999999995,2.8316584888046403,-26.021704135653962,28.937832893269693,62.125,57.8,66.6,8
baseline_raw,img_midpoint,IMG_1878,2.001737491809763,1.674929985892959,2.298399995197542,0.875,0.7000000000000001,1.0,0.875,0.7000000000000001,1.0,127.69964694976807,73.03098526000977,191.84845581054688,171.23785103601796,8.461513157894737,424.70384615384603,238.375,127.4,370.8,-9.281199020158923,-15.545468391503448,1.5397663319618893,16.625,9.100000000000001,25.5,8
baseline_raw,img_midpoint,IMG_1921,2.208274989243364,2.026499982457608,2.4412899918388575,1.0,1.0,1.0,1.0,1.0,1.0,173.50785064697266,151.22964935302736,197.83636322021485,15.042502240359745,5.170517241379311,28.531896551724138,431.625,404.5,457.3,2.8647141839794523,-9.455916807247188,17.641562603582347,29.5,27.7,31.2,8
baseline_raw,img_midpoint,IMG_1922,2.25815000521834,1.8976900144480169,2.6120100141270086,1.0,1.0,1.0,0.9790229871869087,0.9358620584011078,1.0,170.86537647247314,138.02258987426757,213.1484390258789,52.4363065599454,10.153589743589745,108.68022988505743,412.375,341.7,475.29999999999995,-3.5022395470342236,-33.48935508181984,17.160530294192377,28.25,23.6,32.4,8
baseline_raw,img_midpoint,IMG_1924,2.2583874997508246,2.0216799923218787,2.57829999900423,1.0,1.0,1.0,0.8742572120390832,0.6853140715509654,1.0,160.77886892622337,92.6095228496939,208.46318511962892,93.2451063437933,14.412419354838711,201.81482456140344,454.125,419.5,485.79999999999995,-11.828722711267972,-30.53773228799991,1.4134592838304665,31.0,28.7,33.1,8
candidate_confhold,bev_dt_full,IMG_1878,623.7463999932515,192.49185997468885,1152.992319996701,1.0,1.0,1.0,0.9687850400805473,0.9235579669475555,1.0,99.6261510848999,60.85856323242188,132.8602226257324,43.272353684499116,15.202915165411072,68.10716454159076,340.375,301.5,381.1,-25.90295523322009,-44.695975273771964,-14.187746459924298,62.0,45.8,81.0,8
candidate_confhold,bev_dt_full,IMG_1921,1184.4034125024336,976.7342900042422,1450.3430099983234,1.0,1.0,1.0,1.0,1.0,1.0,145.03689002990723,124.94323120117187,162.20553741455078,58.341820987654316,23.76111111111111,103.2432098765432,398.0,385.2,409.0,-22.311417293954868,-42.288016532555055,-10.07426292281687,81.0,81.0,81.0,8
candidate_confhold,bev_dt_full,IMG_1922,1164.5377749955514,579.7118999966187,2030.4519599914784,1.0,1.0,1.0,1.0,1.0,1.0,136.04830265045166,110.44637756347656,163.99476928710936,71.78472222222223,26.906172839506176,115.97962962962963,388.875,365.1,409.0,-27.296705902755285,-45.560290222900086,-10.974382696753661,81.0,81.0,81.0,8
candidate_confhold,bev_dt_full,IMG_1924,734.6207000009599,192.54850001598243,1138.8636099960422,1.0,1.0,1.0,0.9742063507437706,0.9380952417850494,1.0,138.45184707641602,105.48407745361328,164.21981964111328,86.69334215167548,21.04567901234568,157.68888888888887,381.625,342.90000000000003,409.0,-26.122485888967738,-49.38528717606169,-10.974382696753661,78.75,75.6,81.0,8
candidate_confhold,bev_dt_nearfield,IMG_1878,802.982899993367,187.14338000281714,1587.5801899848732,1.0,1.0,1.0,0.9687850400805473,0.9235579669475555,1.0,89.09257984161377,60.85856323242188,107.5796516418457,58.88471204742826,15.202915165411072,105.57682461262067,342.125,301.5,388.1,-22.114817393191124,-34.634655139842316,-11.930158695105888,61.0,45.8,75.4,8
candidate_confhold,bev_dt_nearfield,IMG_1921,1727.8830124996603,1251.4608899771702,2083.554779997212,1.0,1.0,1.0,1.0,1.0,1.0,138.2523775100708,118.81936187744141,164.42340240478515,69.54859520748188,24.09178082191781,109.39633702531646,393.75,392.4,395.3,-19.48918728742066,-32.11946317359955,-11.040940180323732,75.625,73.0,79.3,8
candidate_confhold,bev_dt_nearfield,IMG_1922,1710.1388999981282,808.9815799816279,3055.973320011981,1.0,1.0,1.0,1.0,1.0,1.0,130.60142040252686,110.44637756347656,150.3298538208008,86.31723702012516,35.587534246575345,160.9246913580247,385.125,365.1,394.0,-26.581353747382217,-44.914839221460866,-11.020972935252711,77.5,73.0,81.0,8
candidate_confhold,bev_dt_nearfield,IMG_1924,2170.858550005505,616.5065700130071,3812.668449999182,1.0,1.0,1.0,0.9742063507437706,0.9380952417850494,1.0,136.9192295074463,100.97742156982423,163.95315704345703,101.095316614723,31.932673769660074,197.82671232876712,370.875,338.7,394.2,-22.9833122822108,-49.38528717606169,-11.040940180323732,72.75,70.0,75.4,8
candidate_confhold,bev_graph,IMG_1878,304.4596499967156,49.405470001511276,519.255380006507,1.0,1.0,1.0,0.9766398072242737,0.9261140584945678,1.0,100.27088069915771,81.7803939819336,116.57854003906249,53.821320997565984,14.954700294792007,89.25784214404123,333.625,258.9,404.9,-30.379773901114206,-55.78971807904457,-14.368819381614777,67.125,38.5,103.09999999999998,8
candidate_confhold,bev_graph,IMG_1921,445.6175375053135,61.0844400129281,1282.2596100042574,1.0,1.0,1.0,0.9929577484726906,0.9830985963344574,1.0,115.21090316772461,93.73390502929688,132.49913024902344,76.93262993762221,28.03752833243389,131.29339527027025,401.75,387.1,421.5,-15.390111713935765,-28.925801099852364,-6.531001868713266,81.75,71.7,92.19999999999999,8
